"","kfmid","pxid"
"224",1,22317
"225",1,22318
"226",1,22319
"227",1,22320
"228",1,22321
"229",1,22322
"230",1,22323
"231",1,22324
"232",1,22325
"233",1,22326
"234",1,22408
"235",1,22409
"236",1,22410
"237",1,22411
"238",1,22412
"239",1,22413
"240",1,22414
"241",1,22415
"242",1,22416
"243",1,22417
"244",1,22418
"245",1,22419
"246",1,22420
"247",1,22421
"248",1,22506
"249",1,22507
"250",1,22508
"251",1,22509
"252",1,22510
"253",1,22511
"254",1,22512
"255",1,22513
"256",1,22514
"257",1,22586
"258",1,22587
"259",1,22588
"260",1,22589
"261",1,22590
"262",1,22591
"263",1,22657
"264",1,22658
"265",1,22659
"266",1,22660
"267",1,22661
"268",1,22662
"269",1,22663
"270",1,22728
"271",1,22729
"272",1,22730
"273",1,22731
"274",1,22732
"275",1,22733
"276",1,22734
"277",1,22803
"278",1,22804
"279",1,22805
"280",1,22806
"281",1,22807
"282",1,22808
"283",1,22809
"284",1,22880
"285",1,22881
"286",1,22882
"287",1,22883
"288",1,22884
"289",1,22885
"290",1,22886
"291",1,22887
"292",1,22960
"293",1,22961
"294",1,22962
"295",1,22963
"296",1,22964
"297",1,22965
"298",1,22966
"299",1,23041
"300",1,23042
"301",1,23043
"302",1,23044
"303",1,23045
"304",1,23046
"305",1,23122
"306",1,23123
"307",1,23124
"308",1,23125
"309",1,23126
"310",1,23127
"311",1,23199
"312",1,23200
"313",1,23201
"314",1,23202
"315",1,23203
"316",1,23276
"317",1,23277
"318",1,23278
"319",1,23279
"320",1,23351
"321",2,28117
"322",2,28118
"323",2,28185
"324",2,28186
"325",2,28187
"326",2,28253
"327",2,28254
"328",2,28255
"329",2,28256
"330",2,28320
"331",2,28321
"332",2,28322
"333",2,28323
"334",2,28390
"335",2,28391
"336",2,28392
"337",2,28393
"338",2,28394
"339",2,28395
"340",2,28457
"341",2,28458
"342",2,28459
"343",2,28460
"344",2,28461
"345",2,28462
"346",2,28463
"347",2,28524
"348",2,28525
"349",2,28526
"350",2,28527
"351",2,28528
"352",2,28529
"353",2,28530
"354",2,28531
"355",2,28532
"356",2,28533
"357",2,28534
"358",2,28535
"359",2,28536
"360",2,28537
"361",2,28598
"362",2,28599
"363",2,28600
"364",2,28601
"365",2,28602
"366",2,28603
"367",2,28604
"368",2,28605
"369",2,28606
"370",2,28607
"371",2,28608
"372",2,28609
"373",2,28610
"374",2,28611
"375",2,28612
"376",2,28613
"377",2,28614
"378",2,28615
"379",2,28670
"380",2,28671
"381",2,28672
"382",2,28673
"383",2,28674
"384",2,28675
"385",2,28676
"386",2,28677
"387",2,28678
"388",2,28679
"389",2,28680
"390",2,28681
"391",2,28682
"392",2,28683
"393",2,28684
"394",2,28685
"395",2,28686
"396",2,28687
"397",2,28743
"398",2,28744
"399",2,28745
"400",2,28746
"401",2,28747
"402",2,28748
"403",2,28749
"404",2,28750
"405",2,28751
"406",2,28752
"407",2,28753
"408",2,28754
"409",2,28755
"410",2,28756
"411",2,28757
"412",2,28758
"413",2,28817
"414",2,28818
"415",2,28819
"416",2,28820
"417",2,28821
"418",2,28822
"419",2,28823
"420",2,28824
"421",2,28825
"422",2,28826
"423",2,28827
"424",2,28828
"425",2,28829
"426",2,28890
"427",2,28891
"428",2,28892
"429",2,28893
"430",2,28894
"431",2,28895
"432",2,28896
"433",2,28952
"434",2,28953
"435",2,29009
"436",2,29010
"437",2,29011
"438",2,29061
"439",3,74065
"440",3,74214
"441",3,74289
"442",3,74290
"443",3,74291
"444",3,74364
"445",3,74365
"446",3,74366
"447",3,74367
"448",3,74368
"449",3,74369
"450",3,74439
"451",3,74440
"452",3,74441
"453",3,74442
"454",3,74443
"455",3,74444
"456",3,74445
"457",3,74446
"458",3,74515
"459",3,74516
"460",3,74517
"461",3,74518
"462",3,74519
"463",3,74520
"464",3,74521
"465",3,74522
"466",3,74523
"467",3,74524
"468",3,74596
"469",3,74597
"470",3,74598
"471",3,74599
"472",3,74600
"473",3,74601
"474",3,74602
"475",3,74603
"476",3,74673
"477",3,74674
"478",3,74675
"479",3,74676
"480",3,74677
"481",3,74678
"482",3,74679
"483",3,74680
"484",3,74681
"485",3,74682
"486",3,74683
"487",3,74755
"488",3,74756
"489",3,74757
"490",3,74758
"491",3,74759
"492",3,74760
"493",3,74761
"494",3,74762
"495",3,74763
"496",3,74764
"497",3,74765
"498",3,74766
"499",3,74767
"500",3,74768
"501",3,74836
"502",3,74837
"503",3,74838
"504",3,74839
"505",3,74840
"506",3,74841
"507",3,74842
"508",3,74843
"509",3,74844
"510",3,74845
"511",3,74846
"512",3,74847
"513",3,74848
"514",3,74849
"515",3,74850
"516",3,74851
"517",3,74852
"518",3,74853
"519",3,74854
"520",3,74919
"521",3,74920
"522",3,74921
"523",3,74922
"524",3,74923
"525",3,74924
"526",3,74925
"527",3,74926
"528",3,74927
"529",3,74928
"530",3,74929
"531",3,74930
"532",3,74931
"533",3,74932
"534",3,74933
"535",3,74934
"536",3,74935
"537",3,74936
"538",3,74937
"539",3,74938
"540",3,75000
"541",3,75001
"542",3,75002
"543",3,75003
"544",3,75004
"545",3,75005
"546",3,75006
"547",3,75007
"548",3,75008
"549",3,75009
"550",3,75010
"551",3,75011
"552",3,75012
"553",3,75013
"554",3,75014
"555",3,75015
"556",3,75016
"557",3,75017
"558",3,75018
"559",3,75019
"560",3,75020
"561",3,75074
"562",3,75075
"563",3,75076
"564",3,75077
"565",3,75078
"566",3,75079
"567",3,75080
"568",3,75081
"569",3,75082
"570",3,75083
"571",3,75084
"572",3,75085
"573",3,75086
"574",3,75087
"575",3,75088
"576",3,75089
"577",3,75090
"578",3,75091
"579",3,75092
"580",3,75093
"581",3,75094
"582",3,75144
"583",3,75145
"584",3,75146
"585",3,75147
"586",3,75148
"587",3,75149
"588",3,75150
"589",3,75151
"590",3,75152
"591",3,75153
"592",3,75154
"593",3,75155
"594",3,75156
"595",3,75157
"596",3,75158
"597",3,75159
"598",3,75160
"599",3,75161
"600",3,75162
"601",3,75163
"602",3,75164
"603",3,75165
"604",3,75166
"605",3,75167
"606",3,75168
"607",3,75169
"608",3,75221
"609",3,75222
"610",3,75223
"611",3,75224
"612",3,75225
"613",3,75226
"614",3,75227
"615",3,75228
"616",3,75229
"617",3,75230
"618",3,75231
"619",3,75232
"620",3,75233
"621",3,75234
"622",3,75235
"623",3,75236
"624",3,75237
"625",3,75238
"626",3,75239
"627",3,75240
"628",3,75241
"629",3,75242
"630",3,75243
"631",3,75244
"632",3,75245
"633",3,75246
"634",3,75247
"635",3,75248
"636",3,75299
"637",3,75300
"638",3,75301
"639",3,75302
"640",3,75303
"641",3,75304
"642",3,75305
"643",3,75306
"644",3,75307
"645",3,75308
"646",3,75309
"647",3,75310
"648",3,75311
"649",3,75312
"650",3,75313
"651",3,75314
"652",3,75315
"653",3,75316
"654",3,75317
"655",3,75318
"656",3,75319
"657",3,75320
"658",3,75321
"659",3,75322
"660",3,75323
"661",3,75324
"662",3,75325
"663",3,75326
"664",3,75327
"665",3,75379
"666",3,75380
"667",3,75381
"668",3,75382
"669",3,75383
"670",3,75384
"671",3,75385
"672",3,75386
"673",3,75387
"674",3,75388
"675",3,75389
"676",3,75390
"677",3,75391
"678",3,75392
"679",3,75393
"680",3,75394
"681",3,75395
"682",3,75396
"683",3,75397
"684",3,75398
"685",3,75399
"686",3,75400
"687",3,75401
"688",3,75402
"689",3,75403
"690",3,75404
"691",3,75405
"692",3,75454
"693",3,75455
"694",3,75456
"695",3,75457
"696",3,75458
"697",3,75459
"698",3,75460
"699",3,75461
"700",3,75462
"701",3,75463
